date,eventnbr,latitude,longitude
20161228,80,-46.71243,37.64112
20161230,123,-46.1790366666667,51.00266
20170107,264,-50.9859416666667,72.0289833333333
20170107,285,-50.9819033333333,71.9949
20170109,317,-53.16401,81.5996433333333
20170109,318,-53.1295566666667,81.7307933333333
20170111,369,-54.8327566666667,95.7083033333333
20170111,370,-54.8522083333333,95.7649483333333
20170114,401,-53.1985733333333,118.128166666667
20170114,402,-53.2420683333333,118.200685
20170117,607,-46.9072066666667,141.930188333333
20170117,608,-46.8903383333333,141.97183
20170123,910,-46.396905,150.404141666667
20170123,911,-46.3917916666667,150.398348333333
20170125,932,-53.56616,149.263405
20170125,934,-53.61095,149.30325
20170126,961,-59.5993166666667,148.5908
20170126,963,-59.6176783333333,148.648055
20170128,1026,-67.102715,144.931443333333
20170130,1092,-67.0611366666667,144.897433333333
20170130,1093,-67.063925,144.950411666667
20170130,1094,-67.0644033333333,144.982756666667
20170130,1095,-67.0639483333333,145.000565
20170130,1096,-67.204755,145.71821
20170131,1099,-67.174335,145.729981666667
20170131,1103,-66.9934116666667,146.0154
20170131,1104,-66.8675283333333,146.151863333333
20170131,1105,-66.7518966666667,146.200811666667
20170131,1108,-66.6292,146.244386666667
20170131,1128,-65.8962683333333,146.32425
20170202,1144,-66.0000783333333,159.005201666667
20170202,1156,-65.9788766666667,158.999393333333
20170204,1240,-67.2906133333333,163.542473333333
20170205,1282,-67.100515,167.386651666667
20170205,1285,-67.0976733333333,167.336201666667
20170208,1460,-69.7414033333333,-165.019213333333
20170208,1465,-70.1819466666667,-159.073295
20170209,1487,-71.695645,-143.723696666667
20170210,1489,-71.700625,-143.65531
20170211,1557,-72.994835,-127.839278333333
20170213,1626,-70.0012916666667,-115.507031666667
20170215,1633,-68.7403583333333,-99.990295
20170216,1753,-68.0102216666667,-82.0329116666667
20170218,1878,-63.967615,-66.2636733333333
20170218,1891,-62.503775,-68.0056466666667
20170219,1901,-59.59515,-67.91813
20170227,2201,-54.9806783333333,-54.9799716666667
20170228,2263,-54.99741,-50.038025
20170306,2568,-56.9971233333333,-27.97579
20170306,2576,-56.9947116666667,-27.9497633333333
20170308,2625,-59.5033183333333,-21.009315
20170309,2652,-58.6642116666667,-14.00784
20170309,2654,-58.6625633333333,-13.9865933333333
20170310,2691,-57.5051483333333,-7.00958
20170311,2725,-54.66441,0.954431666666667
20170314,2965,-51.0440316666667,7.00251166666667
20170314,2968,-49.0009716666667,9.00076333333333
20170314,2970,-48.9972183333333,9.00110166666667
20170316,3114,-43.9897433333333,14.077215
20170316,3117,-43.9796083333333,14.0698266666667
20161230,123,-46.1790366666667,51.00266
20170107,264,-50.9859416666667,72.0289833333333
20170107,285,-50.9819033333333,71.9949
20170109,317,-53.16401,81.5996433333333
20170109,318,-53.1295566666667,81.7307933333333
20170111,369,-54.8327566666667,95.7083033333333
20170111,370,-54.8522083333333,95.7649483333333
20170114,401,-53.1985733333333,118.128166666667
20170114,402,-53.2420683333333,118.200685
20170117,607,-46.9072066666667,141.930188333333
20170117,608,-46.8903383333333,141.97183
20170123,910,-46.396905,150.404141666667
20170123,911,-46.3917916666667,150.398348333333
20170125,932,-53.56616,149.263405
20170125,934,-53.61095,149.30325
20170126,961,-59.5993166666667,148.5908
20170126,963,-59.6176783333333,148.648055
20170128,1026,-67.102715,144.931443333333
20170129,1029,-67.1076666666667,144.924861666667
20170130,1092,-67.0611366666667,144.897433333333
20170130,1093,-67.063925,144.950411666667
20170130,1094,-67.0644033333333,144.982756666667
20170130,1095,-67.0639483333333,145.000565
20170130,1096,-67.204755,145.71821
20170131,1099,-67.174335,145.729981666667
20170131,1103,-66.9934116666667,146.0154
20170131,1104,-66.8675283333333,146.151863333333
20170131,1105,-66.7518966666667,146.200811666667
20170131,1108,-66.6292,146.244386666667
20170131,1128,-65.8962683333333,146.32425
20170202,1144,-66.0000783333333,159.005201666667
20170202,1156,-65.9788766666667,158.999393333333
20170204,1240,-67.2906133333333,163.542473333333
20170205,1282,-67.100515,167.386651666667
20170205,1285,-67.0976733333333,167.336201666667
20170208,1460,-69.7414033333333,-165.019213333333
20170208,1465,-70.1819466666667,-159.073295
20170209,1487,-71.695645,-143.723696666667
20170210,1489,-71.700625,-143.65531
20170211,1557,-72.994835,-127.839278333333
20170213,1626,-70.0012916666667,-115.507031666667
20170215,1633,-68.7403583333333,-99.990295
20170216,1753,-68.0102216666667,-82.0329116666667
20170218,1878,-63.967615,-66.2636733333333
20170218,1891,-62.503775,-68.0056466666667
20170219,1901,-59.59515,-67.91813
20170227,2201,-54.9806783333333,-54.9799716666667
20170228,2263,-54.99741,-50.038025
20170306,2568,-56.9971233333333,-27.97579
20170306,2576,-56.9947116666667,-27.9497633333333
20170308,2625,-59.5033183333333,-21.009315
20170309,2652,-58.6642116666667,-14.00784
20170309,2654,-58.6625633333333,-13.9865933333333
20170310,2691,-57.5051483333333,-7.00958
20170311,2725,-54.66441,0.954431666666667
20170314,2965,-51.0440316666667,7.00251166666667
20170314,2968,-49.0009716666667,9.00076333333333
20170314,2970,-48.9972183333333,9.00110166666667
20170316,3114,-43.9897433333333,14.077215
20170316,3117,-43.9796083333333,14.0698266666667
